"chosen_2022_code","chosen_2022_title","chosen_2017_code","chosen_2017_title","title_sim","title_dist","source","em_without","em_with"
"325220","Artificial and Synthetic Fibers and Filaments Manufacturing","325220","Artificial and Synthetic Fibers and Filaments Manufacturing",NA,NA,"unambig",0.886,0.902
"325311","Nitrogenous Fertilizer Manufacturing ","325311","Nitrogenous Fertilizer Manufacturing ",NA,NA,"unambig",1.114,1.137
"325312","Phosphatic Fertilizer Manufacturing ","325312","Phosphatic Fertilizer Manufacturing ",NA,NA,"unambig",1.114,1.137
"325314","Fertilizer (Mixing Only) Manufacturing ","325314","Fertilizer (Mixing Only) Manufacturing ",NA,NA,"unambig",1.114,1.137
"325315","Compost Manufacturing","Added","Added",NA,NA,"unambig",NA,NA
"325320","Pesticide and Other Agricultural Chemical Manufacturing","325320","Pesticide and Other Agricultural Chemical Manufacturing",NA,NA,"unambig",0.433,0.463
"325411","Medicinal and Botanical Manufacturing ","325411","Medicinal and Botanical Manufacturing ",NA,NA,"unambig",0.151,0.189
"325412","Pharmaceutical Preparation Manufacturing ","325412","Pharmaceutical Preparation Manufacturing ",NA,NA,"unambig",0.045,0.099
"325413","In-Vitro Diagnostic Substance Manufacturing ","325413","In-Vitro Diagnostic Substance Manufacturing ",NA,NA,"unambig",0.161,0.183
"325414","Biological Product (except Diagnostic) Manufacturing ","325414","Biological Product (except Diagnostic) Manufacturing ",NA,NA,"unambig",0.126,0.15
"325510","Paint and Coating Manufacturing","325510","Paint and Coating Manufacturing",NA,NA,"unambig",0.264,0.291
"325520","Adhesive Manufacturing","325520","Adhesive Manufacturing",NA,NA,"unambig",0.502,0.531
"325611","Soap and Other Detergent Manufacturing ","325611","Soap and Other Detergent Manufacturing ",NA,NA,"unambig",0.315,0.355
"325612","Polish and Other Sanitation Good Manufacturing ","325612","Polish and Other Sanitation Good Manufacturing ",NA,NA,"unambig",0.315,0.355
"325613","Surface Active Agent Manufacturing ","325613","Surface Active Agent Manufacturing ",NA,NA,"unambig",0.315,0.355
"325620","Toilet Preparation Manufacturing","325620","Toilet Preparation Manufacturing",NA,NA,"unambig",0.136,0.194
"325910","Printing Ink Manufacturing","325910","Printing Ink Manufacturing",NA,NA,"unambig",0.355,0.386
"325920","Explosives Manufacturing","325920","Explosives Manufacturing",NA,NA,"unambig",0.472,0.5
"325991","Custom Compounding of Purchased Resins ","325991","Custom Compounding of Purchased Resins ",NA,NA,"unambig",0.472,0.5
"325992","Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ","325992","Photographic Film, Paper, Plate, and Chemical Manufacturing ",NA,NA,"unambig",0.472,0.5
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing ","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing ",NA,NA,"unambig",0.472,0.5
"326111","Plastics Bag and Pouch Manufacturing ","326111","Plastics Bag and Pouch Manufacturing ",NA,NA,"unambig",0.521,0.544
"326112","Plastics Packaging Film and Sheet (including Laminated) Manufacturing ","326112","Plastics Packaging Film and Sheet (including Laminated) Manufacturing ",NA,NA,"unambig",0.521,0.544
"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ","326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ",NA,NA,"unambig",0.521,0.544
"326121","Unlaminated Plastics Profile Shape Manufacturing ","326121","Unlaminated Plastics Profile Shape Manufacturing ",NA,NA,"unambig",0.332,0.351
"326122","Plastics Pipe and Pipe Fitting Manufacturing ","326122","Plastics Pipe and Pipe Fitting Manufacturing ",NA,NA,"unambig",0.332,0.351
"326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",NA,NA,"unambig",0.441,0.46
"326140","Polystyrene Foam Product Manufacturing","326140","Polystyrene Foam Product Manufacturing",NA,NA,"unambig",0.247,0.271
"326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing","326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing",NA,NA,"unambig",0.318,0.36
"326160","Plastics Bottle Manufacturing","326160","Plastics Bottle Manufacturing",NA,NA,"unambig",0.553,0.579
"326191","Plastics Plumbing Fixture Manufacturing ","326191","Plastics Plumbing Fixture Manufacturing ",NA,NA,"unambig",0.344,0.371
"326199","All Other Plastics Product Manufacturing ","326199","All Other Plastics Product Manufacturing ",NA,NA,"unambig",0.344,0.371
"326211","Tire Manufacturing (except Retreading) ","326211","Tire Manufacturing (except Retreading) ",NA,NA,"unambig",0.233,0.276
"326212","Tire Retreading ","326212","Tire Retreading ",NA,NA,"unambig",0.233,0.276
"326220","Rubber and Plastics Hoses and Belting Manufacturing","326220","Rubber and Plastics Hoses and Belting Manufacturing",NA,NA,"unambig",0.281,0.309
"326291","Rubber Product Manufacturing for Mechanical Use ","326291","Rubber Product Manufacturing for Mechanical Use ",NA,NA,"unambig",0.313,0.343
"326299","All Other Rubber Product Manufacturing ","326299","All Other Rubber Product Manufacturing ",NA,NA,"unambig",0.313,0.343
"327110","Pottery, Ceramics, and Plumbing Fixture Manufacturing ","327110","Pottery, Ceramics, and Plumbing Fixture Manufacturing ",NA,NA,"unambig",0.399,0.451
"327120","Clay Building Material and Refractories Manufacturing ","327120","Clay Building Material and Refractories Manufacturing ",NA,NA,"unambig",0.399,0.451
"327211","Flat Glass Manufacturing ","327211","Flat Glass Manufacturing ",NA,NA,"unambig",0.537,0.597
"327212","Other Pressed and Blown Glass and Glassware Manufacturing ","327212","Other Pressed and Blown Glass and Glassware Manufacturing ",NA,NA,"unambig",0.537,0.597
"327213","Glass Container Manufacturing ","327213","Glass Container Manufacturing ",NA,NA,"unambig",0.537,0.597
"327215","Glass Product Manufacturing Made of Purchased Glass ","327215","Glass Product Manufacturing Made of Purchased Glass ",NA,NA,"unambig",0.537,0.597
"327310","Cement Manufacturing","327310","Cement Manufacturing",NA,NA,"unambig",3.846,3.924
"327320","Ready-Mix Concrete Manufacturing","327320","Ready-Mix Concrete Manufacturing",NA,NA,"unambig",0.54,0.606
"327331","Concrete Block and Brick Manufacturing ","327331","Concrete Block and Brick Manufacturing ",NA,NA,"unambig",0.264,0.328
"327332","Concrete Pipe Manufacturing ","327332","Concrete Pipe Manufacturing ",NA,NA,"unambig",0.264,0.328
"327390","Other Concrete Product Manufacturing ","327390","Other Concrete Product Manufacturing ",NA,NA,"unambig",0.267,0.317
"327410","Lime Manufacturing","327410","Lime Manufacturing",NA,NA,"unambig",1.56,1.623
"327420","Gypsum Product Manufacturing","327420","Gypsum Product Manufacturing",NA,NA,"unambig",1.56,1.623
"327910","Abrasive Product Manufacturing","327910","Abrasive Product Manufacturing",NA,NA,"unambig",0.134,0.187
"327991","Cut Stone and Stone Product Manufacturing ","327991","Cut Stone and Stone Product Manufacturing ",NA,NA,"unambig",0.148,0.195
"327992","Ground or Treated Mineral and Earth Manufacturing ","327992","Ground or Treated Mineral and Earth Manufacturing ",NA,NA,"unambig",0.375,0.497
"327993","Mineral Wool Manufacturing ","327993","Mineral Wool Manufacturing ",NA,NA,"unambig",0.339,0.393
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ","327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ",NA,NA,"unambig",0.719,0.787
"331110","Iron and Steel Mills and Ferroalloy Manufacturing ","331110","Iron and Steel Mills and Ferroalloy Manufacturing ",NA,NA,"unambig",0.769,0.787
"331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel",NA,NA,"unambig",0.343,0.36
"331221","Rolled Steel Shape Manufacturing ","331221","Rolled Steel Shape Manufacturing ",NA,NA,"unambig",0.343,0.36
"331222","Steel Wire Drawing ","331222","Steel Wire Drawing ",NA,NA,"unambig",0.343,0.36
"331313","Alumina Refining and Primary Aluminum Production ","331313","Alumina Refining and Primary Aluminum Production ",NA,NA,"unambig",1.003,1.018
"331314","Secondary Smelting and Alloying of Aluminum ","331314","Secondary Smelting and Alloying of Aluminum ",NA,NA,"unambig",NA,NA
"331315","Aluminum Sheet, Plate, and Foil Manufacturing ","331315","Aluminum Sheet, Plate, and Foil Manufacturing ",NA,NA,"unambig",0.7,0.721
"331318","Other Aluminum Rolling, Drawing, and Extruding ","331318","Other Aluminum Rolling, Drawing, and Extruding ",NA,NA,"unambig",0.7,0.721
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining ","331410","Nonferrous Metal (except Aluminum) Smelting and Refining ",NA,NA,"unambig",0.408,0.423
"331420","Copper Rolling, Drawing, Extruding, and Alloying","331420","Copper Rolling, Drawing, Extruding, and Alloying",NA,NA,"unambig",0.316,0.334
"331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ","331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",NA,NA,"unambig",0.414,0.431
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ","331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",NA,NA,"unambig",0.414,0.431
"331511","Iron Foundries ","331511","Iron Foundries ",NA,NA,"unambig",0.349,0.369
"331512","Steel Investment Foundries ","331512","Steel Investment Foundries ",NA,NA,"unambig",0.349,0.369
"331513","Steel Foundries (except Investment) ","331513","Steel Foundries (except Investment) ",NA,NA,"unambig",0.349,0.369
"331523","Nonferrous Metal Die-Casting Foundries ","331523","Nonferrous Metal Die-Casting Foundries ",NA,NA,"unambig",0.438,0.462
"331524","Aluminum Foundries (except Die-Casting) ","331524","Aluminum Foundries (except Die-Casting) ",NA,NA,"unambig",0.438,0.462
"331529","Other Nonferrous Metal Foundries (except Die-Casting) ","331529","Other Nonferrous Metal Foundries (except Die-Casting) ",NA,NA,"unambig",0.438,0.462
"332111","Iron and Steel Forging ","332111","Iron and Steel Forging ",NA,NA,"unambig",0.47,0.493
"332112","Nonferrous Forging ","332112","Nonferrous Forging ",NA,NA,"unambig",0.47,0.493
"332114","Custom Roll Forming ","332114","Custom Roll Forming ",NA,NA,"unambig",0.349,0.362
"332117","Powder Metallurgy Part Manufacturing ","332117","Powder Metallurgy Part Manufacturing ",NA,NA,"unambig",0.47,0.493
"332119","Metal Crown, Closure, and Other Metal Stamping (except Automotive) ","332119","Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",NA,NA,"unambig",0.293,0.319
"332215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ","332215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",NA,NA,"unambig",0.174,0.223
"332216","Saw Blade and Handtool Manufacturing ","332216","Saw Blade and Handtool Manufacturing ",NA,NA,"unambig",0.174,0.223
"332311","Prefabricated Metal Building and Component Manufacturing ","332311","Prefabricated Metal Building and Component Manufacturing ",NA,NA,"unambig",0.246,0.262
"332312","Fabricated Structural Metal Manufacturing ","332312","Fabricated Structural Metal Manufacturing ",NA,NA,"unambig",0.246,0.262
"332313","Plate Work Manufacturing ","332313","Plate Work Manufacturing ",NA,NA,"unambig",0.246,0.262
"332321","Metal Window and Door Manufacturing ","332321","Metal Window and Door Manufacturing ",NA,NA,"unambig",0.195,0.221
"332322","Sheet Metal Work Manufacturing ","332322","Sheet Metal Work Manufacturing ",NA,NA,"unambig",0.195,0.221
"332323","Ornamental and Architectural Metal Work Manufacturing ","332323","Ornamental and Architectural Metal Work Manufacturing ",NA,NA,"unambig",0.195,0.221
"332410","Power Boiler and Heat Exchanger Manufacturing","332410","Power Boiler and Heat Exchanger Manufacturing",NA,NA,"unambig",0.182,0.209
"332420","Metal Tank (Heavy Gauge) Manufacturing","332420","Metal Tank (Heavy Gauge) Manufacturing",NA,NA,"unambig",0.267,0.279
"332431","Metal Can Manufacturing ","332431","Metal Can Manufacturing ",NA,NA,"unambig",0.302,0.318
"332439","Other Metal Container Manufacturing ","332439","Other Metal Container Manufacturing ",NA,NA,"unambig",0.302,0.318
"332510","Hardware Manufacturing","332510","Hardware Manufacturing",NA,NA,"unambig",0.157,0.191
"332613","Spring Manufacturing ","332613","Spring Manufacturing ",NA,NA,"unambig",0.219,0.233
"332618","Other Fabricated Wire Product Manufacturing ","332618","Other Fabricated Wire Product Manufacturing ",NA,NA,"unambig",0.219,0.233
"332710","Machine Shops","332710","Machine Shops",NA,NA,"unambig",0.262,0.278
"332721","Precision Turned Product Manufacturing ","332721","Precision Turned Product Manufacturing ",NA,NA,"unambig",0.222,0.248
"332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing ","332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",NA,NA,"unambig",0.222,0.248
"332811","Metal Heat Treating ","332811","Metal Heat Treating ",NA,NA,"unambig",0.368,0.382
"332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ","332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",NA,NA,"unambig",0.368,0.382
"332813","Electroplating, Plating, Polishing, Anodizing, and Coloring ","332813","Electroplating, Plating, Polishing, Anodizing, and Coloring ",NA,NA,"unambig",0.368,0.382
"332911","Industrial Valve Manufacturing ","332911","Industrial Valve Manufacturing ",NA,NA,"unambig",0.146,0.173
"332912","Fluid Power Valve and Hose Fitting Manufacturing ","332912","Fluid Power Valve and Hose Fitting Manufacturing ",NA,NA,"unambig",0.146,0.173
"332913","Plumbing Fixture Fitting and Trim Manufacturing ","332913","Plumbing Fixture Fitting and Trim Manufacturing ",NA,NA,"unambig",0.126,0.171
"332919","Other Metal Valve and Pipe Fitting Manufacturing ","332919","Other Metal Valve and Pipe Fitting Manufacturing ",NA,NA,"unambig",0.146,0.173
"332991","Ball and Roller Bearing Manufacturing","332991","Ball and Roller Bearing Manufacturing",NA,NA,"unambig",0.179,0.203
"332992","Small Arms Ammunition Manufacturing ","332992","Small Arms Ammunition Manufacturing ",NA,NA,"unambig",0.115,0.168
"332993","Ammunition (except Small Arms) Manufacturing ","332993","Ammunition (except Small Arms) Manufacturing ",NA,NA,"unambig",0.115,0.168
"332994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing ","332994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",NA,NA,"unambig",0.115,0.168
"332996","Fabricated Pipe and Pipe Fitting Manufacturing ","332996","Fabricated Pipe and Pipe Fitting Manufacturing ",NA,NA,"unambig",0.212,0.238
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing ","332999","All Other Miscellaneous Fabricated Metal Product Manufacturing ",NA,NA,"unambig",0.248,0.272
"333111","Farm Machinery and Equipment Manufacturing ","333111","Farm Machinery and Equipment Manufacturing ",NA,NA,"unambig",0.191,0.22
"333112","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ","333112","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ",NA,NA,"unambig",0.052,0.12
"333120","Construction Machinery Manufacturing","333120","Construction Machinery Manufacturing",NA,NA,"unambig",0.201,0.228
"333131","Mining Machinery and Equipment Manufacturing ","333131","Mining Machinery and Equipment Manufacturing ",NA,NA,"unambig",0.175,0.219
"333132","Oil and Gas Field Machinery and Equipment Manufacturing ","333132","Oil and Gas Field Machinery and Equipment Manufacturing ",NA,NA,"unambig",0.175,0.219
"333241","Food Product Machinery Manufacturing ","333241","Food Product Machinery Manufacturing ",NA,NA,"unambig",0.166,0.185
"333242","Semiconductor Machinery Manufacturing ","333242","Semiconductor Machinery Manufacturing ",NA,NA,"unambig",0.13,0.15
"333243","Sawmill, Woodworking, and Paper Machinery Manufacturing ","333243","Sawmill, Woodworking, and Paper Machinery Manufacturing ",NA,NA,"unambig",0.166,0.185
"333248","All Other Industrial Machinery Manufacturing ","333249","Other Industrial Machinery Manufacturing ",0.996271043771044,0.16780303030303,"ambig_greedy",0.166,0.185
"333310","Commercial and Service Industry Machinery Manufacturing ","333318","Other Commercial and Service Industry Machinery Manufacturing ",0.997027386503854,0.184302036761053,"ambig_greedy",0.171,0.205
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ","333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ",NA,NA,"unambig",0.184,0.21
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing ","333414","Heating Equipment (except Warm Air Furnaces) Manufacturing ",NA,NA,"unambig",0.138,0.176
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ","333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ",NA,NA,"unambig",0.156,0.184
"333511","Industrial Mold Manufacturing ","333511","Industrial Mold Manufacturing ",NA,NA,"unambig",0.236,0.262
"333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ","333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",NA,NA,"unambig",0.184,0.21
"333515","Cutting Tool and Machine Tool Accessory Manufacturing ","333515","Cutting Tool and Machine Tool Accessory Manufacturing ",NA,NA,"unambig",0.184,0.207
"333517","Machine Tool Manufacturing ","333517","Machine Tool Manufacturing ",NA,NA,"unambig",0.176,0.199
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing ","333519","Rolling Mill and Other Metalworking Machinery Manufacturing ",NA,NA,"unambig",0.184,0.207
"333611","Turbine and Turbine Generator Set Units Manufacturing ","333611","Turbine and Turbine Generator Set Units Manufacturing ",NA,NA,"unambig",0.178,0.201
"333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ","333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",NA,NA,"unambig",0.163,0.179
"333613","Mechanical Power Transmission Equipment Manufacturing ","333613","Mechanical Power Transmission Equipment Manufacturing ",NA,NA,"unambig",0.187,0.209
"333618","Other Engine Equipment Manufacturing ","333618","Other Engine Equipment Manufacturing ",NA,NA,"unambig",0.273,0.297
"333912","Air and Gas Compressor Manufacturing ","333912","Air and Gas Compressor Manufacturing ",NA,NA,"unambig",0.158,0.177
"333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing ","333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing",NA,NA,"unambig",0.223,0.223
"333921","Elevator and Moving Stairway Manufacturing ","333921","Elevator and Moving Stairway Manufacturing ",NA,NA,"unambig",0.234,0.256
"333922","Conveyor and Conveying Equipment Manufacturing ","333922","Conveyor and Conveying Equipment Manufacturing ",NA,NA,"unambig",0.234,0.256
"333923","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ","333923","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",NA,NA,"unambig",0.234,0.256
"333924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ","333924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",NA,NA,"unambig",0.234,0.256
"333991","Power-Driven Handtool Manufacturing ","333991","Power-Driven Handtool Manufacturing ",NA,NA,"unambig",0.083,0.136
"333992","Welding and Soldering Equipment Manufacturing ","333992","Welding and Soldering Equipment Manufacturing ",NA,NA,"unambig",0.228,0.249
"333993","Packaging Machinery Manufacturing ","333993","Packaging Machinery Manufacturing ",NA,NA,"unambig",0.113,0.136
"333994","Industrial Process Furnace and Oven Manufacturing ","333994","Industrial Process Furnace and Oven Manufacturing ",NA,NA,"unambig",0.168,0.19
"333995","Fluid Power Cylinder and Actuator Manufacturing ","333995","Fluid Power Cylinder and Actuator Manufacturing ",NA,NA,"unambig",0.182,0.202
"333996","Fluid Power Pump and Motor Manufacturing ","333996","Fluid Power Pump and Motor Manufacturing ",NA,NA,"unambig",0.182,0.202
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing ","333999","All Other Miscellaneous General Purpose Machinery Manufacturing ",1,0,"ambig_greedy",0.228,0.249
"334111","Electronic Computer Manufacturing ","334111","Electronic Computer Manufacturing ",NA,NA,"unambig",0.03,0.058
"334112","Computer Storage Device Manufacturing ","334112","Computer Storage Device Manufacturing ",NA,NA,"unambig",0.04,0.071
"334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing ","334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing ",NA,NA,"unambig",0.116,0.143
"334210","Telephone Apparatus Manufacturing","334210","Telephone Apparatus Manufacturing",NA,NA,"unambig",0.051,0.096
"334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",NA,NA,"unambig",0.065,0.111
"334290","Other Communications Equipment Manufacturing","334290","Other Communications Equipment Manufacturing",NA,NA,"unambig",0.038,0.08
"334310","Audio and Video Equipment Manufacturing","334310","Audio and Video Equipment Manufacturing",NA,NA,"unambig",0.043,0.081
"334412","Bare Printed Circuit Board Manufacturing  ","334412","Bare Printed Circuit Board Manufacturing ",NA,NA,"unambig",0.08,0.098
"334413","Semiconductor and Related Device Manufacturing ","334413","Semiconductor and Related Device Manufacturing ",NA,NA,"unambig",0.188,0.215
"334416","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ","334416","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",NA,NA,"unambig",0.08,0.098
"334417","Electronic Connector Manufacturing ","334417","Electronic Connector Manufacturing ",NA,NA,"unambig",0.08,0.098
"334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing ","334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing ",NA,NA,"unambig",0.068,0.101
"334419","Other Electronic Component Manufacturing ","334419","Other Electronic Component Manufacturing ",NA,NA,"unambig",0.08,0.098
"334510","Electromedical and Electrotherapeutic Apparatus Manufacturing ","334510","Electromedical and Electrotherapeutic Apparatus Manufacturing ",NA,NA,"unambig",0.087,0.135
"334511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ","334511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",NA,NA,"unambig",0.052,0.071
"334512","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ","334512","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",NA,NA,"unambig",0.047,0.07
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ","334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",NA,NA,"unambig",0.048,0.063
"334514","Totalizing Fluid Meter and Counting Device Manufacturing ","334514","Totalizing Fluid Meter and Counting Device Manufacturing ",NA,NA,"unambig",0.063,0.084
"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ","334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ",NA,NA,"unambig",0.055,0.079
"334516","Analytical Laboratory Instrument Manufacturing ","334516","Analytical Laboratory Instrument Manufacturing ",NA,NA,"unambig",0.078,0.102
"334517","Irradiation Apparatus Manufacturing ","334517","Irradiation Apparatus Manufacturing ",NA,NA,"unambig",0.097,0.135
"334519","Other Measuring and Controlling Device Manufacturing ","334519","Other Measuring and Controlling Device Manufacturing ",NA,NA,"unambig",0.044,0.087
"334610","Manufacturing and Reproducing Magnetic and Optical Media ","334613","Blank Magnetic and Optical Recording Media Manufacturing ",0.995881370091896,0.234761904761905,"ambig_greedy",0.043,0.063
"335131","Residential Electric Lighting Fixture Manufacturing ","335121","Residential Electric Lighting Fixture Manufacturing ",NA,NA,"unambig",0.138,0.185
"335132","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ","335122","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",NA,NA,"unambig",0.138,0.185
"335139","Electric Lamp Bulb and Other Lighting Equipment Manufacturing ","335110","Electric Lamp Bulb and Part Manufacturing",0.99694272828503,0.189550846328136,"ambig_greedy",0.099,0.173
"335210","Small Electrical Appliance Manufacturing","335210","Small Electrical Appliance Manufacturing",NA,NA,"unambig",0.106,0.157
"335220","Major Household Appliance Manufacturing ","335220","Major Household Appliance Manufacturing",NA,NA,"unambig",0.137,0.172
"335311","Power, Distribution, and Specialty Transformer Manufacturing ","335311","Power, Distribution, and Specialty Transformer Manufacturing ",NA,NA,"unambig",0.118,0.133
"335312","Motor and Generator Manufacturing ","335312","Motor and Generator Manufacturing ",NA,NA,"unambig",0.133,0.152
"335313","Switchgear and Switchboard Apparatus Manufacturing ","335313","Switchgear and Switchboard Apparatus Manufacturing ",NA,NA,"unambig",0.153,0.174
"335314","Relay and Industrial Control Manufacturing ","335314","Relay and Industrial Control Manufacturing ",NA,NA,"unambig",0.12,0.138
"335910","Battery Manufacturing ","335911","Storage Battery Manufacturing ",0.992172961138478,0.234811165845649,"ambig_greedy",0.311,0.337
"335921","Fiber Optic Cable Manufacturing ","335921","Fiber Optic Cable Manufacturing ",NA,NA,"unambig",0.219,0.235
"335929","Other Communication and Energy Wire Manufacturing ","335929","Other Communication and Energy Wire Manufacturing ",NA,NA,"unambig",0.219,0.235
"335931","Current-Carrying Wiring Device Manufacturing ","335931","Current-Carrying Wiring Device Manufacturing ",NA,NA,"unambig",0.102,0.127
"335932","Noncurrent-Carrying Wiring Device Manufacturing ","335932","Noncurrent-Carrying Wiring Device Manufacturing ",NA,NA,"unambig",0.102,0.127
"335991","Carbon and Graphite Product Manufacturing ","335991","Carbon and Graphite Product Manufacturing ",NA,NA,"unambig",0.347,0.363
"335999","All Other Miscellaneous Electrical Equipment and Component Manufacturing ","335999","All Other Miscellaneous Electrical Equipment and Component Manufacturing ",NA,NA,"unambig",0.112,0.128
"336110","Automobile and Light Duty Motor Vehicle Manufacturing ","336112","Light Truck and Utility Vehicle Manufacturing ",0.995735305536144,0.230293501048218,"ambig_greedy",0.241,0.268
"336120","Heavy Duty Truck Manufacturing","336120","Heavy Duty Truck Manufacturing",NA,NA,"unambig",0.262,0.272
"336211","Motor Vehicle Body Manufacturing ","336211","Motor Vehicle Body Manufacturing ",NA,NA,"unambig",0.225,0.253
"336212","Truck Trailer Manufacturing ","336212","Truck Trailer Manufacturing ",NA,NA,"unambig",0.185,0.2
"336213","Motor Home Manufacturing ","336213","Motor Home Manufacturing ",NA,NA,"unambig",0.055,0.107
"336214","Travel Trailer and Camper Manufacturing ","336214","Travel Trailer and Camper Manufacturing ",NA,NA,"unambig",0.128,0.16
"336310","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","336310","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing",NA,NA,"unambig",0.23,0.259
"336320","Motor Vehicle Electrical and Electronic Equipment Manufacturing","336320","Motor Vehicle Electrical and Electronic Equipment Manufacturing",NA,NA,"unambig",0.191,0.218
"336330","Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","336330","Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing",NA,NA,"unambig",0.25,0.278
"336340","Motor Vehicle Brake System Manufacturing","336340","Motor Vehicle Brake System Manufacturing",NA,NA,"unambig",0.25,0.278
"336350","Motor Vehicle Transmission and Power Train Parts Manufacturing","336350","Motor Vehicle Transmission and Power Train Parts Manufacturing",NA,NA,"unambig",0.226,0.252
"336360","Motor Vehicle Seating and Interior Trim Manufacturing","336360","Motor Vehicle Seating and Interior Trim Manufacturing",NA,NA,"unambig",0.315,0.333
"336370","Motor Vehicle Metal Stamping","336370","Motor Vehicle Metal Stamping",NA,NA,"unambig",0.482,0.503
"336390","Other Motor Vehicle Parts Manufacturing","336390","Other Motor Vehicle Parts Manufacturing",NA,NA,"unambig",0.242,0.265
"336411","Aircraft Manufacturing ","336411","Aircraft Manufacturing ",NA,NA,"unambig",0.131,0.139
"336412","Aircraft Engine and Engine Parts Manufacturing ","336412","Aircraft Engine and Engine Parts Manufacturing ",NA,NA,"unambig",0.151,0.156
