Input Seq,2022 NAICS Code,2022 NAICS Title,Change to 2017 Code,2017 NAICS Code,2017 NAICS Title
308,327993,Mineral Wool Manufacturing ,No Change,327993,Mineral Wool Manufacturing 
309,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,No Change,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
310,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,No Change,331110,Iron and Steel Mills and Ferroalloy Manufacturing 
311,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,No Change,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
312,331221,Rolled Steel Shape Manufacturing ,No Change,331221,Rolled Steel Shape Manufacturing 
313,331222,Steel Wire Drawing ,No Change,331222,Steel Wire Drawing 
314,331313,Alumina Refining and Primary Aluminum Production ,No Change,331313,Alumina Refining and Primary Aluminum Production 
315,331314,Secondary Smelting and Alloying of Aluminum ,No Change,331314,Secondary Smelting and Alloying of Aluminum 
316,331315,"Aluminum Sheet, Plate, and Foil Manufacturing ",No Change,331315,"Aluminum Sheet, Plate, and Foil Manufacturing "
317,331318,"Other Aluminum Rolling, Drawing, and Extruding ",No Change,331318,"Other Aluminum Rolling, Drawing, and Extruding "
318,331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,No Change,331410,Nonferrous Metal (except Aluminum) Smelting and Refining 
319,331420,"Copper Rolling, Drawing, Extruding, and Alloying",No Change,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
320,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",No Change,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding "
321,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",No Change,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) "
322,331511,Iron Foundries ,No Change,331511,Iron Foundries 
323,331512,Steel Investment Foundries ,No Change,331512,Steel Investment Foundries 
324,331513,Steel Foundries (except Investment) ,No Change,331513,Steel Foundries (except Investment) 
325,331523,Nonferrous Metal Die-Casting Foundries ,No Change,331523,Nonferrous Metal Die-Casting Foundries 
326,331524,Aluminum Foundries (except Die-Casting) ,No Change,331524,Aluminum Foundries (except Die-Casting) 
327,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,No Change,331529,Other Nonferrous Metal Foundries (except Die-Casting) 
328,332111,Iron and Steel Forging ,No Change,332111,Iron and Steel Forging 
329,332112,Nonferrous Forging ,No Change,332112,Nonferrous Forging 
330,332114,Custom Roll Forming ,No Change,332114,Custom Roll Forming 
331,332117,Powder Metallurgy Part Manufacturing ,No Change,332117,Powder Metallurgy Part Manufacturing 
332,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",No Change,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) "
333,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",No Change,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing "
334,332216,Saw Blade and Handtool Manufacturing ,No Change,332216,Saw Blade and Handtool Manufacturing 
335,332311,Prefabricated Metal Building and Component Manufacturing ,No Change,332311,Prefabricated Metal Building and Component Manufacturing 
336,332312,Fabricated Structural Metal Manufacturing ,No Change,332312,Fabricated Structural Metal Manufacturing 
337,332313,Plate Work Manufacturing ,No Change,332313,Plate Work Manufacturing 
338,332321,Metal Window and Door Manufacturing ,No Change,332321,Metal Window and Door Manufacturing 
339,332322,Sheet Metal Work Manufacturing ,No Change,332322,Sheet Metal Work Manufacturing 
340,332323,Ornamental and Architectural Metal Work Manufacturing ,No Change,332323,Ornamental and Architectural Metal Work Manufacturing 
341,332410,Power Boiler and Heat Exchanger Manufacturing,No Change,332410,Power Boiler and Heat Exchanger Manufacturing
342,332420,Metal Tank (Heavy Gauge) Manufacturing,No Change,332420,Metal Tank (Heavy Gauge) Manufacturing
343,332431,Metal Can Manufacturing ,No Change,332431,Metal Can Manufacturing 
344,332439,Other Metal Container Manufacturing ,No Change,332439,Other Metal Container Manufacturing 
345,332510,Hardware Manufacturing,No Change,332510,Hardware Manufacturing
346,332613,Spring Manufacturing ,No Change,332613,Spring Manufacturing 
347,332618,Other Fabricated Wire Product Manufacturing ,No Change,332618,Other Fabricated Wire Product Manufacturing 
348,332710,Machine Shops,No Change,332710,Machine Shops
349,332721,Precision Turned Product Manufacturing ,No Change,332721,Precision Turned Product Manufacturing 
350,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",No Change,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing "
351,332811,Metal Heat Treating ,No Change,332811,Metal Heat Treating 
352,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",No Change,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers "
353,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",No Change,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
354,332911,Industrial Valve Manufacturing ,No Change,332911,Industrial Valve Manufacturing 
355,332912,Fluid Power Valve and Hose Fitting Manufacturing ,No Change,332912,Fluid Power Valve and Hose Fitting Manufacturing 
356,332913,Plumbing Fixture Fitting and Trim Manufacturing ,No Change,332913,Plumbing Fixture Fitting and Trim Manufacturing 
357,332919,Other Metal Valve and Pipe Fitting Manufacturing ,No Change,332919,Other Metal Valve and Pipe Fitting Manufacturing 
358,332991,Ball and Roller Bearing Manufacturing,No Change,332991,Ball and Roller Bearing Manufacturing
359,332992,Small Arms Ammunition Manufacturing ,No Change,332992,Small Arms Ammunition Manufacturing 
360,332993,Ammunition (except Small Arms) Manufacturing ,No Change,332993,Ammunition (except Small Arms) Manufacturing 
361,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",No Change,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing "
362,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,No Change,332996,Fabricated Pipe and Pipe Fitting Manufacturing 
363,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,No Change,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing 
364,333111,Farm Machinery and Equipment Manufacturing ,No Change,333111,Farm Machinery and Equipment Manufacturing 
365,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,No Change,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing 
366,333120,Construction Machinery Manufacturing,No Change,333120,Construction Machinery Manufacturing
367,333131,Mining Machinery and Equipment Manufacturing ,No Change,333131,Mining Machinery and Equipment Manufacturing 
368,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,No Change,333132,Oil and Gas Field Machinery and Equipment Manufacturing 
369,333241,Food Product Machinery Manufacturing ,No Change,333241,Food Product Machinery Manufacturing 
370,333242,Semiconductor Machinery Manufacturing ,No Change,333242,Semiconductor Machinery Manufacturing 
371,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",No Change,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing "
259,325315,Compost Manufacturing,New NAICS Code,Added,Added
373,333248,All Other Industrial Machinery Manufacturing ,New NAICS Code,333244,Printing Machinery and Equipment Manufacturing 
372,333248,All Other Industrial Machinery Manufacturing ,New NAICS Code,333249,Other Industrial Machinery Manufacturing 
376,333310,Commercial and Service Industry Machinery Manufacturing ,New NAICS Code,333314,Optical Instrument and Lens Manufacturing 
374,333310,Commercial and Service Industry Machinery Manufacturing ,New NAICS Code,333316,Photographic and Photocopying Equipment Manufacturing 
377,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,No Change,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing 
378,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,No Change,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing 
379,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,No Change,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing 
380,333511,Industrial Mold Manufacturing ,No Change,333511,Industrial Mold Manufacturing 
381,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",No Change,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing "
382,333515,Cutting Tool and Machine Tool Accessory Manufacturing ,No Change,333515,Cutting Tool and Machine Tool Accessory Manufacturing 
383,333517,Machine Tool Manufacturing ,No Change,333517,Machine Tool Manufacturing 
384,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,No Change,333519,Rolling Mill and Other Metalworking Machinery Manufacturing 
385,333611,Turbine and Turbine Generator Set Units Manufacturing ,No Change,333611,Turbine and Turbine Generator Set Units Manufacturing 
386,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",No Change,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing "
387,333613,Mechanical Power Transmission Equipment Manufacturing ,No Change,333613,Mechanical Power Transmission Equipment Manufacturing 
388,333618,Other Engine Equipment Manufacturing ,No Change,333618,Other Engine Equipment Manufacturing 
389,333912,Air and Gas Compressor Manufacturing ,No Change,333912,Air and Gas Compressor Manufacturing 
390,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",No Change,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
391,333921,Elevator and Moving Stairway Manufacturing ,No Change,333921,Elevator and Moving Stairway Manufacturing 
392,333922,Conveyor and Conveying Equipment Manufacturing ,No Change,333922,Conveyor and Conveying Equipment Manufacturing 
393,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",No Change,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing "
394,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",No Change,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing "
395,333991,Power-Driven Handtool Manufacturing ,No Change,333991,Power-Driven Handtool Manufacturing 
396,333992,Welding and Soldering Equipment Manufacturing ,No Change,333992,Welding and Soldering Equipment Manufacturing 
397,333993,Packaging Machinery Manufacturing ,No Change,333993,Packaging Machinery Manufacturing 
398,333994,Industrial Process Furnace and Oven Manufacturing ,No Change,333994,Industrial Process Furnace and Oven Manufacturing 
399,333995,Fluid Power Cylinder and Actuator Manufacturing ,No Change,333995,Fluid Power Cylinder and Actuator Manufacturing 
400,333996,Fluid Power Pump and Motor Manufacturing ,No Change,333996,Fluid Power Pump and Motor Manufacturing 
375,333310,Commercial and Service Industry Machinery Manufacturing ,New NAICS Code,333318,Other Commercial and Service Industry Machinery Manufacturing 
402,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,New NAICS Code,333997,Scale and Balance Manufacturing 
403,334111,Electronic Computer Manufacturing ,No Change,334111,Electronic Computer Manufacturing 
404,334112,Computer Storage Device Manufacturing ,No Change,334112,Computer Storage Device Manufacturing 
405,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,No Change,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing 
406,334210,Telephone Apparatus Manufacturing,No Change,334210,Telephone Apparatus Manufacturing
407,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,No Change,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
408,334290,Other Communications Equipment Manufacturing,No Change,334290,Other Communications Equipment Manufacturing
409,334310,Audio and Video Equipment Manufacturing,No Change,334310,Audio and Video Equipment Manufacturing
410,334412,Bare Printed Circuit Board Manufacturing  ,No Change,334412,Bare Printed Circuit Board Manufacturing 
411,334413,Semiconductor and Related Device Manufacturing ,No Change,334413,Semiconductor and Related Device Manufacturing 
412,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",No Change,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing "
413,334417,Electronic Connector Manufacturing ,No Change,334417,Electronic Connector Manufacturing 
414,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,No Change,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing 
415,334419,Other Electronic Component Manufacturing ,No Change,334419,Other Electronic Component Manufacturing 
416,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,No Change,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing 
417,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",No Change,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "
418,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",No Change,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use "
419,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",No Change,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables "
420,334514,Totalizing Fluid Meter and Counting Device Manufacturing ,No Change,334514,Totalizing Fluid Meter and Counting Device Manufacturing 
421,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,No Change,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals 
422,334516,Analytical Laboratory Instrument Manufacturing ,No Change,334516,Analytical Laboratory Instrument Manufacturing 
423,334517,Irradiation Apparatus Manufacturing ,No Change,334517,Irradiation Apparatus Manufacturing 
424,334519,Other Measuring and Controlling Device Manufacturing ,No Change,334519,Other Measuring and Controlling Device Manufacturing 
401,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,New NAICS Code,333999,All Other Miscellaneous General Purpose Machinery Manufacturing 
425,334610,Manufacturing and Reproducing Magnetic and Optical Media ,New NAICS Code,334613,Blank Magnetic and Optical Recording Media Manufacturing 
426,334610,Manufacturing and Reproducing Magnetic and Optical Media ,New NAICS Code,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing "
427,335131,Residential Electric Lighting Fixture Manufacturing ,New NAICS Code,335121,Residential Electric Lighting Fixture Manufacturing 
428,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",New NAICS Code,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing "
429,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing ,New NAICS Code,335110,Electric Lamp Bulb and Part Manufacturing
431,335210,Small Electrical Appliance Manufacturing,No Change,335210,Small Electrical Appliance Manufacturing
432,335220,Major Household Appliance Manufacturing ,No Change,335220,Major Household Appliance Manufacturing
433,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",No Change,335311,"Power, Distribution, and Specialty Transformer Manufacturing "
434,335312,Motor and Generator Manufacturing ,No Change,335312,Motor and Generator Manufacturing 
435,335313,Switchgear and Switchboard Apparatus Manufacturing ,No Change,335313,Switchgear and Switchboard Apparatus Manufacturing 
436,335314,Relay and Industrial Control Manufacturing ,No Change,335314,Relay and Industrial Control Manufacturing 
430,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing ,New NAICS Code,335129,Other Lighting Equipment Manufacturing 
437,335910,Battery Manufacturing ,New NAICS Code,335911,Storage Battery Manufacturing 
439,335921,Fiber Optic Cable Manufacturing ,No Change,335921,Fiber Optic Cable Manufacturing 
440,335929,Other Communication and Energy Wire Manufacturing ,No Change,335929,Other Communication and Energy Wire Manufacturing 
441,335931,Current-Carrying Wiring Device Manufacturing ,No Change,335931,Current-Carrying Wiring Device Manufacturing 
442,335932,Noncurrent-Carrying Wiring Device Manufacturing ,No Change,335932,Noncurrent-Carrying Wiring Device Manufacturing 
443,335991,Carbon and Graphite Product Manufacturing ,No Change,335991,Carbon and Graphite Product Manufacturing 
444,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,No Change,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing 
438,335910,Battery Manufacturing ,New NAICS Code,335912,Primary Battery Manufacturing 
445,336110,Automobile and Light Duty Motor Vehicle Manufacturing ,New NAICS Code,336111,Automobile Manufacturing 
447,336120,Heavy Duty Truck Manufacturing,No Change,336120,Heavy Duty Truck Manufacturing
448,336211,Motor Vehicle Body Manufacturing ,No Change,336211,Motor Vehicle Body Manufacturing 
449,336212,Truck Trailer Manufacturing ,No Change,336212,Truck Trailer Manufacturing 
450,336213,Motor Home Manufacturing ,No Change,336213,Motor Home Manufacturing 
451,336214,Travel Trailer and Camper Manufacturing ,No Change,336214,Travel Trailer and Camper Manufacturing 
452,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,No Change,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
453,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,No Change,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
454,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,No Change,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
455,336340,Motor Vehicle Brake System Manufacturing,No Change,336340,Motor Vehicle Brake System Manufacturing
456,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,No Change,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
457,336360,Motor Vehicle Seating and Interior Trim Manufacturing,No Change,336360,Motor Vehicle Seating and Interior Trim Manufacturing
458,336370,Motor Vehicle Metal Stamping,No Change,336370,Motor Vehicle Metal Stamping
459,336390,Other Motor Vehicle Parts Manufacturing,No Change,336390,Other Motor Vehicle Parts Manufacturing
460,336411,Aircraft Manufacturing ,No Change,336411,Aircraft Manufacturing 
461,336412,Aircraft Engine and Engine Parts Manufacturing ,No Change,336412,Aircraft Engine and Engine Parts Manufacturing 
462,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,No Change,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing 
463,336414,Guided Missile and Space Vehicle Manufacturing ,No Change,336414,Guided Missile and Space Vehicle Manufacturing 
464,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,No Change,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing 
465,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,No Change,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing 
466,336510,Railroad Rolling Stock Manufacturing,No Change,336510,Railroad Rolling Stock Manufacturing
467,336611,Ship Building and Repairing ,No Change,336611,Ship Building and Repairing 
468,336612,Boat Building ,No Change,336612,Boat Building 
469,336991,"Motorcycle, Bicycle, and Parts Manufacturing ",No Change,336991,"Motorcycle, Bicycle, and Parts Manufacturing "
470,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",No Change,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing "
471,336999,All Other Transportation Equipment Manufacturing ,No Change,336999,All Other Transportation Equipment Manufacturing 
472,337110,Wood Kitchen Cabinet and Countertop Manufacturing,No Change,337110,Wood Kitchen Cabinet and Countertop Manufacturing
473,337121,Upholstered Household Furniture Manufacturing ,No Change,337121,Upholstered Household Furniture Manufacturing 
474,337122,Nonupholstered Wood Household Furniture Manufacturing ,No Change,337122,Nonupholstered Wood Household Furniture Manufacturing 
446,336110,Automobile and Light Duty Motor Vehicle Manufacturing ,New NAICS Code,336112,Light Truck and Utility Vehicle Manufacturing 
476,337126,Household Furniture (except Wood and Upholstered) Manufacturing ,New NAICS Code,337124,Metal Household Furniture Manufacturing 
477,337127,Institutional Furniture Manufacturing ,No Change,337127,Institutional Furniture Manufacturing 
478,337211,Wood Office Furniture Manufacturing ,No Change,337211,Wood Office Furniture Manufacturing 
479,337212,Custom Architectural Woodwork and Millwork Manufacturing ,No Change,337212,Custom Architectural Woodwork and Millwork Manufacturing 
480,337214,Office Furniture (except Wood) Manufacturing ,No Change,337214,Office Furniture (except Wood) Manufacturing 
481,337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",No Change,337215,"Showcase, Partition, Shelving, and Locker Manufacturing "
482,337910,Mattress Manufacturing,No Change,337910,Mattress Manufacturing
483,337920,Blind and Shade Manufacturing,No Change,337920,Blind and Shade Manufacturing
484,339112,Surgical and Medical Instrument Manufacturing ,No Change,339112,Surgical and Medical Instrument Manufacturing 
485,339113,Surgical Appliance and Supplies Manufacturing ,No Change,339113,Surgical Appliance and Supplies Manufacturing 
486,339114,Dental Equipment and Supplies Manufacturing ,No Change,339114,Dental Equipment and Supplies Manufacturing 
487,339115,Ophthalmic Goods Manufacturing ,No Change,339115,Ophthalmic Goods Manufacturing 
488,339116,Dental Laboratories ,No Change,339116,Dental Laboratories 
489,339910,Jewelry and Silverware Manufacturing ,No Change,339910,Jewelry and Silverware Manufacturing 
490,339920,Sporting and Athletic Goods Manufacturing,No Change,339920,Sporting and Athletic Goods Manufacturing
491,339930,"Doll, Toy, and Game Manufacturing",No Change,339930,"Doll, Toy, and Game Manufacturing"
492,339940,Office Supplies (except Paper) Manufacturing,No Change,339940,Office Supplies (except Paper) Manufacturing
493,339950,Sign Manufacturing,No Change,339950,Sign Manufacturing
494,339991,"Gasket, Packing, and Sealing Device Manufacturing ",No Change,339991,"Gasket, Packing, and Sealing Device Manufacturing "
495,339992,Musical Instrument Manufacturing ,No Change,339992,Musical Instrument Manufacturing 
496,339993,"Fastener, Button, Needle, and Pin Manufacturing ",No Change,339993,"Fastener, Button, Needle, and Pin Manufacturing "
497,339994,"Broom, Brush, and Mop Manufacturing ",No Change,339994,"Broom, Brush, and Mop Manufacturing "
498,339995,Burial Casket Manufacturing ,No Change,339995,Burial Casket Manufacturing 
499,339999,All Other Miscellaneous Manufacturing ,No Change,339999,All Other Miscellaneous Manufacturing 
500,423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,No Change,423110,Automobile and Other Motor Vehicle Merchant Wholesalers 
501,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,No Change,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers 
502,423130,Tire and Tube Merchant Wholesalers ,No Change,423130,Tire and Tube Merchant Wholesalers 
503,423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,No Change,423140,Motor Vehicle Parts (Used) Merchant Wholesalers 
504,423210,Furniture Merchant Wholesalers ,No Change,423210,Furniture Merchant Wholesalers 
505,423220,Home Furnishing Merchant Wholesalers ,No Change,423220,Home Furnishing Merchant Wholesalers 
506,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",No Change,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers "
507,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",No Change,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers "
508,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",No Change,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers "
509,423390,Other Construction Material Merchant Wholesalers ,No Change,423390,Other Construction Material Merchant Wholesalers 
510,423410,Photographic Equipment and Supplies Merchant Wholesalers ,No Change,423410,Photographic Equipment and Supplies Merchant Wholesalers 
511,423420,Office Equipment Merchant Wholesalers ,No Change,423420,Office Equipment Merchant Wholesalers 
512,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,No Change,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers 
513,423440,Other Commercial Equipment Merchant Wholesalers ,No Change,423440,Other Commercial Equipment Merchant Wholesalers 
514,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",No Change,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers "
515,423460,Ophthalmic Goods Merchant Wholesalers ,No Change,423460,Ophthalmic Goods Merchant Wholesalers 
516,423490,Other Professional Equipment and Supplies Merchant Wholesalers ,No Change,423490,Other Professional Equipment and Supplies Merchant Wholesalers 
517,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,No Change,423510,Metal Service Centers and Other Metal Merchant Wholesalers 
518,423520,Coal and Other Mineral and Ore Merchant Wholesalers ,No Change,423520,Coal and Other Mineral and Ore Merchant Wholesalers 
519,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",No Change,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers "
520,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",No Change,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers "
521,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,No Change,423690,Other Electronic Parts and Equipment Merchant Wholesalers 
522,423710,Hardware Merchant Wholesalers ,No Change,423710,Hardware Merchant Wholesalers 
523,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,No Change,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
524,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,No Change,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
525,423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,No Change,423740,Refrigeration Equipment and Supplies Merchant Wholesalers 
526,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,No Change,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers 
527,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,No Change,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers 
528,423830,Industrial Machinery and Equipment Merchant Wholesalers ,No Change,423830,Industrial Machinery and Equipment Merchant Wholesalers 
529,423840,Industrial Supplies Merchant Wholesalers,No Change,423840,Industrial Supplies Merchant Wholesalers
530,423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,No Change,423850,Service Establishment Equipment and Supplies Merchant Wholesalers 
531,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,No Change,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
532,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,No Change,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers 
533,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,No Change,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers 
534,423930,Recyclable Material Merchant Wholesalers ,No Change,423930,Recyclable Material Merchant Wholesalers 
535,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",No Change,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers "
536,423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,No Change,423990,Other Miscellaneous Durable Goods Merchant Wholesalers 
537,424110,Printing and Writing Paper Merchant Wholesalers ,No Change,424110,Printing and Writing Paper Merchant Wholesalers 
538,424120,Stationery and Office Supplies Merchant Wholesalers ,No Change,424120,Stationery and Office Supplies Merchant Wholesalers 
539,424130,Industrial and Personal Service Paper Merchant Wholesalers ,No Change,424130,Industrial and Personal Service Paper Merchant Wholesalers 
540,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,No Change,424210,Drugs and Druggists' Sundries Merchant Wholesalers 
541,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",No Change,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers "
475,337126,Household Furniture (except Wood and Upholstered) Manufacturing ,New NAICS Code,337125,Household Furniture (except Wood and Metal) Manufacturing 
543,424350,Clothing and Clothing Accessories Merchant Wholesalers,New NAICS Code,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers 
542,424340,Footwear Merchant Wholesalers ,No Change,424340,Footwear Merchant Wholesalers 
545,424410,General Line Grocery Merchant Wholesalers ,No Change,424410,General Line Grocery Merchant Wholesalers 
546,424420,Packaged Frozen Food Merchant Wholesalers ,No Change,424420,Packaged Frozen Food Merchant Wholesalers 
